 Predicted Genomic Islands                    '
Number          Start            End           Length
1              309242            360893             51652
2              758809            768941             10133
3              1539211            1573229             34019
4              1624558            1651071             26514
5              1776907            1791816             14910
6              1911732            1934357             22626
7              2113955            2138633             24679
8              2361501            2394133             32633
9              2743882            2784968             41087
10              2862166            2900930             38765
11              3577353            3590853             13501
12              4321546            4349176             27631
13              4402543            4473125             70583
14              4495590            4541625             46036
